as_of,ticker,sector,weight,ann_return_sample,vol_sample
2020-09-30,INSM,PHARMA,0.18477491465506565,"Ticker
INSM    0.358294
dtype: float64","Ticker
INSM    0.73158
dtype: float64"
2020-09-30,AXON,DEFENSE,0.2548815343686563,"Ticker
AXON    0.570636
dtype: float64","Ticker
AXON    0.465215
dtype: float64"
2020-09-30,DKS,CONSUMER_DISCRETIONARY,0.16815163238782638,"Ticker
DKS    0.418027
dtype: float64","Ticker
DKS    0.445978
dtype: float64"
2020-09-30,RH,CONSUMER_DISCRETIONARY,0.0981981673697463,"Ticker
RH   -0.057877
dtype: float64","Ticker
RH    0.599531
dtype: float64"
2020-09-30,PVH,CONSUMER_DISCRETIONARY,0.06587863725430168,"Ticker
PVH    0.072398
dtype: float64","Ticker
PVH    0.488041
dtype: float64"
2020-09-30,IVZ,FINANCIALS,0.14090973991886432,"Ticker
IVZ    0.198614
dtype: float64","Ticker
IVZ    0.382372
dtype: float64"
2020-09-30,DUK,UTILITIES,0.08512439870619457,"Ticker
DUK    0.12405
dtype: float64","Ticker
DUK    0.185694
dtype: float64"
2020-09-30,ED,UTILITIES,0.0020809753457943997,"Ticker
ED    0.104254
dtype: float64","Ticker
ED    0.192212
dtype: float64"
2020-10-31,NTNX,TECH,0.021146523018851934,"Ticker
NTNX    0.26669
dtype: float64","Ticker
NTNX    0.503963
dtype: float64"
2020-10-31,INSM,PHARMA,0.07692575964389936,"Ticker
INSM    0.358294
dtype: float64","Ticker
INSM    0.73158
dtype: float64"
2020-10-31,AXON,DEFENSE,0.237630893662001,"Ticker
AXON    0.570636
dtype: float64","Ticker
AXON    0.465215
dtype: float64"
2020-10-31,CROX,CONSUMER_DISCRETIONARY,0.08281925292460116,"Ticker
CROX    0.158313
dtype: float64","Ticker
CROX    0.556687
dtype: float64"
2020-10-31,DKS,CONSUMER_DISCRETIONARY,0.09454701841277731,"Ticker
DKS    0.418027
dtype: float64","Ticker
DKS    0.445978
dtype: float64"
2020-10-31,TPR,CONSUMER_DISCRETIONARY,0.14699539518461233,"Ticker
TPR    0.484475
dtype: float64","Ticker
TPR    0.412307
dtype: float64"
2020-10-31,IVZ,FINANCIALS,0.11619350719362057,"Ticker
IVZ    0.198614
dtype: float64","Ticker
IVZ    0.382372
dtype: float64"
2020-10-31,DUK,UTILITIES,0.03873000250615722,"Ticker
DUK    0.12405
dtype: float64","Ticker
DUK    0.185694
dtype: float64"
2020-10-31,AEP,UTILITIES,0.07926520108856155,"Ticker
AEP    0.106617
dtype: float64","Ticker
AEP    0.199842
dtype: float64"
2020-10-31,WEC,UTILITIES,0.012377744585323721,"Ticker
WEC    0.066018
dtype: float64","Ticker
WEC    0.197577
dtype: float64"
2020-10-31,MLM,MATERIALS,0.09336870178470814,"Ticker
MLM    0.239425
dtype: float64","Ticker
MLM    0.277983
dtype: float64"
2020-11-30,NTNX,TECH,0.008076146587000602,"Ticker
NTNX    0.26669
dtype: float64","Ticker
NTNX    0.503963
dtype: float64"
2020-11-30,INSM,PHARMA,0.13310846842942878,"Ticker
INSM    0.358294
dtype: float64","Ticker
INSM    0.73158
dtype: float64"
2020-11-30,AXON,DEFENSE,0.3372276639224225,"Ticker
AXON    0.570636
dtype: float64","Ticker
AXON    0.465215
dtype: float64"
2020-11-30,CROX,CONSUMER_DISCRETIONARY,0.0717254261791396,"Ticker
CROX    0.158313
dtype: float64","Ticker
CROX    0.556687
dtype: float64"
2020-11-30,DKS,CONSUMER_DISCRETIONARY,0.0383064268927347,"Ticker
DKS    0.418027
dtype: float64","Ticker
DKS    0.445978
dtype: float64"
2020-11-30,RH,CONSUMER_DISCRETIONARY,0.021768790150683167,"Ticker
RH   -0.057877
dtype: float64","Ticker
RH    0.599531
dtype: float64"
2020-11-30,TPR,CONSUMER_DISCRETIONARY,0.21944199470183087,"Ticker
TPR    0.484475
dtype: float64","Ticker
TPR    0.412307
dtype: float64"
2020-11-30,IVZ,FINANCIALS,0.16629984797985436,"Ticker
IVZ    0.198614
dtype: float64","Ticker
IVZ    0.382372
dtype: float64"
2020-11-30,ALB,MATERIALS,0.004045235156464221,"Ticker
ALB   -0.01055
dtype: float64","Ticker
ALB    0.527728
dtype: float64"
2020-12-31,SNPS,TECH,0.12713992326024348,"Ticker
SNPS    0.253943
dtype: float64","Ticker
SNPS    0.35592
dtype: float64"
2020-12-31,MPWR,TECH,0.025286841658730727,"Ticker
MPWR    0.250549
dtype: float64","Ticker
MPWR    0.531304
dtype: float64"
2020-12-31,NTNX,TECH,0.05199359410820572,"Ticker
NTNX    0.26669
dtype: float64","Ticker
NTNX    0.503963
dtype: float64"
2020-12-31,SM,ENERGY,0.023762752324207957,"Ticker
SM    0.563052
dtype: float64","Ticker
SM    0.676002
dtype: float64"
2020-12-31,AXON,DEFENSE,0.21719523288727274,"Ticker
AXON    0.570636
dtype: float64","Ticker
AXON    0.465215
dtype: float64"
2020-12-31,YETI,CONSUMER_DISCRETIONARY,0.0080930653403687,"Ticker
YETI   -0.074105
dtype: float64","Ticker
YETI    0.50059
dtype: float64"
2020-12-31,CROX,CONSUMER_DISCRETIONARY,0.08332964033959639,"Ticker
CROX    0.158313
dtype: float64","Ticker
CROX    0.556687
dtype: float64"
