as_of,ticker,sector,weight,ann_return_sample,vol_sample
2020-09-30,INSM,PHARMA,0.1902443378510702,"Ticker
INSM    0.358294
dtype: float64","Ticker
INSM    0.73158
dtype: float64"
2020-09-30,AXON,DEFENSE,0.25342761879327835,"Ticker
AXON    0.570636
dtype: float64","Ticker
AXON    0.465215
dtype: float64"
2020-09-30,DKS,CONSUMER_DISCRETIONARY,0.15912677494001518,"Ticker
DKS    0.418027
dtype: float64","Ticker
DKS    0.445978
dtype: float64"
2020-09-30,RH,CONSUMER_DISCRETIONARY,0.09487981206905968,"Ticker
RH   -0.057877
dtype: float64","Ticker
RH    0.599531
dtype: float64"
2020-09-30,PVH,CONSUMER_DISCRETIONARY,0.04599341299345652,"Ticker
PVH    0.072398
dtype: float64","Ticker
PVH    0.488041
dtype: float64"
2020-09-30,IVZ,FINANCIALS,0.1454495278669796,"Ticker
IVZ    0.198614
dtype: float64","Ticker
IVZ    0.382372
dtype: float64"
2020-09-30,DUK,UTILITIES,0.0958793354544209,"Ticker
DUK    0.12405
dtype: float64","Ticker
DUK    0.185694
dtype: float64"
2020-09-30,ED,UTILITIES,0.014999179537053209,"Ticker
ED    0.104254
dtype: float64","Ticker
ED    0.192212
dtype: float64"
2020-10-31,NTNX,TECH,0.022324478604089242,"Ticker
NTNX    0.26669
dtype: float64","Ticker
NTNX    0.503963
dtype: float64"
2020-10-31,INSM,PHARMA,0.07813854941607129,"Ticker
INSM    0.358294
dtype: float64","Ticker
INSM    0.73158
dtype: float64"
2020-10-31,AXON,DEFENSE,0.24104015754600028,"Ticker
AXON    0.570636
dtype: float64","Ticker
AXON    0.465215
dtype: float64"
2020-10-31,CROX,CONSUMER_DISCRETIONARY,0.07055175777953615,"Ticker
CROX    0.158313
dtype: float64","Ticker
CROX    0.556687
dtype: float64"
2020-10-31,DKS,CONSUMER_DISCRETIONARY,0.08937042272700066,"Ticker
DKS    0.418027
dtype: float64","Ticker
DKS    0.445978
dtype: float64"
