as_of,ticker,sector,weight,ann_return_sample,vol_sample
2020-08-31,SNPS,TECH,0.05682221957061465,"Ticker
SNPS    0.253943
dtype: float64","Ticker
SNPS    0.35592
dtype: float64"
2020-08-31,CDNS,TECH,0.01598725082696989,"Ticker
CDNS    0.262662
dtype: float64","Ticker
CDNS    0.356003
dtype: float64"
2020-08-31,MCHP,TECH,0.016579249814299948,"Ticker
MCHP    0.068777
dtype: float64","Ticker
MCHP    0.433276
dtype: float64"
2020-08-31,MPWR,TECH,0.017267739334077797,"Ticker
MPWR    0.250549
dtype: float64","Ticker
MPWR    0.531304
dtype: float64"
2020-08-31,FTNT,TECH,0.02209752299043605,"Ticker
FTNT    0.251993
dtype: float64","Ticker
FTNT    0.431959
dtype: float64"
2020-08-31,NTNX,TECH,0.005035942488307187,"Ticker
NTNX    0.26669
dtype: float64","Ticker
NTNX    0.503963
dtype: float64"
2020-08-31,BMRN,PHARMA,0.027583823548740286,"Ticker
BMRN   -0.136475
dtype: float64","Ticker
BMRN    0.355326
dtype: float64"
2020-08-31,NBIX,PHARMA,0.03485038078968885,"Ticker
NBIX    0.026498
dtype: float64","Ticker
NBIX    0.352501
dtype: float64"
2020-08-31,TECH,PHARMA,0.045900954621168985,"Ticker
TECH   -0.0363
dtype: float64","Ticker
TECH    0.37036
dtype: float64"
2020-08-31,INSM,PHARMA,0.0011091023921405141,"Ticker
INSM    0.358294
dtype: float64","Ticker
INSM    0.73158
dtype: float64"
2020-08-31,HRMY,PHARMA,0.00467136722121699,"Ticker
HRMY   -0.000762
dtype: float64","Ticker
HRMY    0.536614
dtype: float64"
2020-08-31,AMGN,PHARMA,0.011630454719385848,"Ticker
AMGN    0.072347
dtype: float64","Ticker
AMGN    0.234188
dtype: float64"
2020-08-31,REGN,PHARMA,0.017109901402250622,"Ticker
REGN   -0.012848
dtype: float64","Ticker
REGN    0.300165
dtype: float64"
2020-08-31,VRTX,PHARMA,0.04181032919706369,"Ticker
VRTX    0.075121
dtype: float64","Ticker
VRTX    0.301151
dtype: float64"
2020-08-31,BIIB,PHARMA,0.010491468451968237,"Ticker
BIIB   -0.137279
dtype: float64","Ticker
BIIB    0.443025
dtype: float64"
2020-08-31,APA,ENERGY,8.271839555665467e-05,"Ticker
APA    0.086473
dtype: float64","Ticker
APA    0.526142
dtype: float64"
2020-08-31,EQT,ENERGY,0.010540374298456104,"Ticker
EQT    0.269255
dtype: float64","Ticker
EQT    0.467437
dtype: float64"
2020-08-31,AR,ENERGY,0.029596765093469823,"Ticker
AR    0.48945
dtype: float64","Ticker
AR    0.555105
dtype: float64"
2020-08-31,CTRA,ENERGY,0.014602284262812395,"Ticker
CTRA    0.090614
dtype: float64","Ticker
CTRA    0.352706
dtype: float64"
2020-08-31,HII,DEFENSE,0.001502153600689209,"Ticker
HII    0.129626
dtype: float64","Ticker
HII    0.298074
dtype: float64"
2020-08-31,TDG,DEFENSE,0.010136820307972218,"Ticker
TDG    0.262196
dtype: float64","Ticker
TDG    0.287537
dtype: float64"
2020-08-31,KTOS,DEFENSE,0.0022450324724792923,"Ticker
KTOS    0.285773
dtype: float64","Ticker
KTOS    0.465002
dtype: float64"
2020-08-31,MRCY,DEFENSE,0.0009593049766889368,"Ticker
MRCY   -0.030587
dtype: float64","Ticker
MRCY    0.438757
dtype: float64"
2020-08-31,AXON,DEFENSE,0.02846143680768495,"Ticker
AXON    0.570636
dtype: float64","Ticker
AXON    0.465215
dtype: float64"
2020-08-31,AVAV,DEFENSE,0.0017715775610274388,"Ticker
AVAV    0.247544
dtype: float64","Ticker
AVAV    0.524691
dtype: float64"
2020-08-31,ROK,INDUSTRIALS,0.008920146409041381,"Ticker
ROK    0.097973
dtype: float64","Ticker
ROK    0.311489
dtype: float64"
2020-08-31,XYL,INDUSTRIALS,0.00785568793852115,"Ticker
XYL    0.135729
dtype: float64","Ticker
XYL    0.26118
dtype: float64"
2020-08-31,IEX,INDUSTRIALS,0.01728017050590274,"Ticker
IEX    0.00007
dtype: float64","Ticker
IEX    0.240761
dtype: float64"
2020-08-31,DOV,INDUSTRIALS,0.0066747163543048995,"Ticker
DOV    0.110753
dtype: float64","Ticker
DOV    0.24277
dtype: float64"
2020-08-31,ALLE,INDUSTRIALS,0.005213728319567785,"Ticker
ALLE    0.119645
dtype: float64","Ticker
ALLE    0.264954
dtype: float64"
2020-08-31,AME,INDUSTRIALS,0.007515855433359955,"Ticker
AME    0.131255
dtype: float64","Ticker
AME    0.217337
dtype: float64"
2020-08-31,LECO,INDUSTRIALS,0.011097207727700313,"Ticker
LECO    0.21408
dtype: float64","Ticker
LECO    0.262663
dtype: float64"
2020-08-31,PNR,INDUSTRIALS,0.015614221630690567,"Ticker
PNR    0.199863
dtype: float64","Ticker
PNR    0.283657
dtype: float64"
2020-08-31,ITT,INDUSTRIALS,0.0018641772258907966,"Ticker
ITT    0.229731
dtype: float64","Ticker
ITT    0.288594
dtype: float64"
2020-08-31,YETI,CONSUMER_DISCRETIONARY,0.03348817592770612,"Ticker
YETI   -0.074105
dtype: float64","Ticker
YETI    0.50059
dtype: float64"
2020-08-31,CROX,CONSUMER_DISCRETIONARY,0.0015300445167434383,"Ticker
CROX    0.158313
dtype: float64","Ticker
CROX    0.556687
dtype: float64"
2020-08-31,DKS,CONSUMER_DISCRETIONARY,0.017600404315255024,"Ticker
DKS    0.418027
dtype: float64","Ticker
DKS    0.445978
dtype: float64"
2020-08-31,RH,CONSUMER_DISCRETIONARY,0.00960737046953434,"Ticker
RH   -0.057877
dtype: float64","Ticker
RH    0.599531
dtype: float64"
2020-08-31,DECK,CONSUMER_DISCRETIONARY,0.02772395493628004,"Ticker
DECK    0.23937
dtype: float64","Ticker
DECK    0.426866
dtype: float64"
2020-08-31,SKX,CONSUMER_DISCRETIONARY,0.0044466177964888574,"Ticker
SKX    0.163586
dtype: float64","Ticker
SKX    0.398741
dtype: float64"
2020-08-31,COLM,CONSUMER_DISCRETIONARY,0.009708155695056338,"Ticker
COLM   -0.068556
dtype: float64","Ticker
COLM    0.326117
dtype: float64"
2020-08-31,MKC,CONSUMER_STAPLES,0.028453723554638245,"Ticker
MKC   -0.053936
dtype: float64","Ticker
MKC    0.227252
dtype: float64"
2020-08-31,HRL,CONSUMER_STAPLES,0.03436514015097539,"Ticker
HRL   -0.09012
dtype: float64","Ticker
HRL    0.222784
dtype: float64"
2020-08-31,CPB,CONSUMER_STAPLES,0.028390312005676113,"Ticker
CPB   -0.060124
dtype: float64","Ticker
CPB    0.229926
dtype: float64"
2020-08-31,CAG,CONSUMER_STAPLES,0.010110136180217586,"Ticker
CAG   -0.090587
dtype: float64","Ticker
CAG    0.221318
dtype: float64"
2020-08-31,SJM,CONSUMER_STAPLES,0.0047581058128978535,"Ticker
SJM    0.028171
dtype: float64","Ticker
SJM    0.234754
dtype: float64"
2020-08-31,CHD,CONSUMER_STAPLES,0.027068017751221647,"Ticker
CHD    0.004064
dtype: float64","Ticker
CHD    0.200843
dtype: float64"
2020-08-31,CLX,CONSUMER_STAPLES,0.04268156860285153,"Ticker
CLX   -0.089311
dtype: float64","Ticker
CLX    0.254725
dtype: float64"
2020-08-31,KMB,CONSUMER_STAPLES,0.020770525088743948,"Ticker
KMB    0.000848
dtype: float64","Ticker
KMB    0.18668
dtype: float64"
2020-08-31,GIS,CONSUMER_STAPLES,0.02631364469545324,"Ticker
GIS   -0.017836
dtype: float64","Ticker
GIS    0.204798
dtype: float64"
2020-08-31,MTB,FINANCIALS,0.006718649782647231,"Ticker
MTB    0.160556
dtype: float64","Ticker
MTB    0.346238
dtype: float64"
2020-08-31,PNC,FINANCIALS,0.004784536822598354,"Ticker
PNC    0.158364
dtype: float64","Ticker
PNC    0.287035
dtype: float64"
2020-08-31,KEY,FINANCIALS,0.0047161852290902055,"Ticker
KEY    0.131743
dtype: float64","Ticker
KEY    0.406408
dtype: float64"
2020-08-31,TROW,FINANCIALS,0.002701054110331764,"Ticker
TROW   -0.009148
dtype: float64","Ticker
TROW    0.307367
dtype: float64"
2020-08-31,IVZ,FINANCIALS,0.011950364413797975,"Ticker
IVZ    0.198614
dtype: float64","Ticker
IVZ    0.382372
dtype: float64"
2020-08-31,RJF,FINANCIALS,0.0009409791711820916,"Ticker
RJF    0.286353
dtype: float64","Ticker
RJF    0.285538
dtype: float64"
2020-08-31,NEE,UTILITIES,0.019189419910653836,"Ticker
NEE    0.038251
dtype: float64","Ticker
NEE    0.272817
dtype: float64"
2020-08-31,DUK,UTILITIES,0.007337635427329749,"Ticker
DUK    0.12405
dtype: float64","Ticker
DUK    0.185694
dtype: float64"
2020-08-31,SO,UTILITIES,0.008436250947573559,"Ticker
SO    0.161561
dtype: float64","Ticker
SO    0.189358
dtype: float64"
2020-08-31,SRE,UTILITIES,0.0006395822139426987,"Ticker
SRE    0.080924
dtype: float64","Ticker
SRE    0.232915
dtype: float64"
2020-08-31,XEL,UTILITIES,0.013547403127996932,"Ticker
XEL    0.036885
dtype: float64","Ticker
XEL    0.210001
dtype: float64"
2020-08-31,WEC,UTILITIES,0.014182335196539038,"Ticker
WEC    0.066018
dtype: float64","Ticker
WEC    0.197577
dtype: float64"
2020-08-31,APD,MATERIALS,0.00975181165142815,"Ticker
APD    0.024946
dtype: float64","Ticker
APD    0.262719
dtype: float64"
2020-08-31,ECL,MATERIALS,0.01097310849621686,"Ticker
ECL    0.087874
dtype: float64","Ticker
ECL    0.245122
dtype: float64"
2020-08-31,NEM,MATERIALS,0.008637160825391555,"Ticker
NEM    0.03605
dtype: float64","Ticker
NEM    0.345062
dtype: float64"
2020-08-31,VMC,MATERIALS,0.02734270787966967,"Ticker
VMC    0.186418
dtype: float64","Ticker
VMC    0.26907
dtype: float64"
2020-08-31,MLM,MATERIALS,0.010252830603724604,"Ticker
MLM    0.239425
dtype: float64","Ticker
MLM    0.277983
dtype: float64"
2020-09-30,NBIX,PHARMA,0.022987636535533068,"Ticker
NBIX    0.026498
dtype: float64","Ticker
NBIX    0.352501
dtype: float64"
2020-09-30,TECH,PHARMA,0.055456553075286734,"Ticker
TECH   -0.0363
dtype: float64","Ticker
TECH    0.37036
dtype: float64"
2020-09-30,SM,ENERGY,0.020227267564896952,"Ticker
SM    0.563052
dtype: float64","Ticker
SM    0.676002
dtype: float64"
2020-09-30,EQT,ENERGY,0.05494263177287287,"Ticker
EQT    0.269255
dtype: float64","Ticker
EQT    0.467437
dtype: float64"
2020-09-30,BWXT,DEFENSE,0.0024577961555838426,"Ticker
BWXT    0.260323
dtype: float64","Ticker
BWXT    0.294112
dtype: float64"
2020-09-30,MRCY,DEFENSE,0.005143268469578421,"Ticker
MRCY   -0.030587
dtype: float64","Ticker
MRCY    0.438757
dtype: float64"
2020-09-30,DKS,CONSUMER_DISCRETIONARY,0.026568452185086095,"Ticker
DKS    0.418027
dtype: float64","Ticker
DKS    0.445978
dtype: float64"
2020-09-30,RH,CONSUMER_DISCRETIONARY,0.09064145180005609,"Ticker
RH   -0.057877
dtype: float64","Ticker
RH    0.599531
dtype: float64"
2020-09-30,DECK,CONSUMER_DISCRETIONARY,0.03394844508060071,"Ticker
DECK    0.23937
dtype: float64","Ticker
DECK    0.426866
dtype: float64"
2020-09-30,COLM,CONSUMER_DISCRETIONARY,0.03749805481257886,"Ticker
COLM   -0.068556
dtype: float64","Ticker
COLM    0.326117
dtype: float64"
2020-09-30,HRL,CONSUMER_STAPLES,0.22664647614248914,"Ticker
HRL   -0.09012
dtype: float64","Ticker
HRL    0.222784
dtype: float64"
2020-09-30,SJM,CONSUMER_STAPLES,0.08319864819961753,"Ticker
SJM    0.028171
dtype: float64","Ticker
SJM    0.234754
dtype: float64"
2020-09-30,CLX,CONSUMER_STAPLES,0.06975815980623604,"Ticker
CLX   -0.089311
dtype: float64","Ticker
CLX    0.254725
dtype: float64"
2020-09-30,NEE,UTILITIES,0.029335272419798702,"Ticker
NEE    0.038251
dtype: float64","Ticker
NEE    0.272817
dtype: float64"
2020-09-30,SO,UTILITIES,0.24118988597978533,"Ticker
SO    0.161561
dtype: float64","Ticker
SO    0.189358
dtype: float64"
2020-10-31,NBIX,PHARMA,0.032694813111574676,"Ticker
NBIX    0.026498
dtype: float64","Ticker
NBIX    0.352501
dtype: float64"
2020-10-31,INSM,PHARMA,0.015058861272648766,"Ticker
INSM    0.358294
dtype: float64","Ticker
INSM    0.73158
dtype: float64"
2020-10-31,SM,ENERGY,0.0030523290897313945,"Ticker
SM    0.563052
dtype: float64","Ticker
SM    0.676002
dtype: float64"
2020-10-31,TDG,DEFENSE,0.006840549472612374,"Ticker
TDG    0.262196
dtype: float64","Ticker
TDG    0.287537
dtype: float64"
