ticker,sector,weight,annualized_return_sample,volatility_sample,weight_norm
SO,UTILITIES,0.34781763636989144,"Ticker
SO    0.161997
dtype: float64","Ticker
SO    0.189432
dtype: float64",0.34781763636990176
AXON,DEFENSE,0.1670025355714472,"Ticker
AXON    0.569351
dtype: float64","Ticker
AXON    0.465398
dtype: float64",0.16700253557145214
CW,DEFENSE,0.14546425231463334,"Ticker
CW    0.367007
dtype: float64","Ticker
CW    0.279444
dtype: float64",0.14546425231463764
TPR,CONSUMER_DISCRETIONARY,0.10493914809702477,"Ticker
TPR    0.469675
dtype: float64","Ticker
TPR    0.41184
dtype: float64",0.10493914809702788
AR,ENERGY,0.07588516427327507,"Ticker
AR    0.493092
dtype: float64","Ticker
AR    0.555297
dtype: float64",0.07588516427327732
DKS,CONSUMER_DISCRETIONARY,0.06268233808943845,"Ticker
DKS    0.416943
dtype: float64","Ticker
DKS    0.446153
dtype: float64",0.0626823380894403
SM,ENERGY,0.041325774257086285,"Ticker
SM    0.570035
dtype: float64","Ticker
SM    0.676194
dtype: float64",0.041325774257087514
INSM,PHARMA,0.04125708684007346,"Ticker
INSM    0.358519
dtype: float64","Ticker
INSM    0.731871
dtype: float64",0.04125708684007468
NTNX,TECH,0.0129319429098898,"Ticker
NTNX    0.266669
dtype: float64","Ticker
NTNX    0.504164
dtype: float64",0.012931942909890184
CF,MATERIALS,0.0006941212772105963,"Ticker
CF    0.226399
dtype: float64","Ticker
CF    0.37453
dtype: float64",0.0006941212772106169
