ticker,sector,weight,annualized_return_sample,volatility_sample,weight_norm
KMB,CONSUMER_STAPLES,0.14068873774111865,"Ticker
KMB    0.001529
dtype: float64","Ticker
KMB    0.186748
dtype: float64",0.14068873774111867
HRL,CONSUMER_STAPLES,0.0858317253111058,"Ticker
HRL   -0.091347
dtype: float64","Ticker
HRL    0.222853
dtype: float64",0.08583172531110582
CHD,CONSUMER_STAPLES,0.08326752232083404,"Ticker
CHD    0.004329
dtype: float64","Ticker
CHD    0.200923
dtype: float64",0.08326752232083405
DUK,UTILITIES,0.07295826405024879,"Ticker
DUK    0.127475
dtype: float64","Ticker
DUK    0.185644
dtype: float64",0.0729582640502488
GIS,CONSUMER_STAPLES,0.06924884344325409,"Ticker
GIS   -0.01777
dtype: float64","Ticker
GIS    0.20488
dtype: float64",0.0692488434432541
ED,UTILITIES,0.06460971016290662,"Ticker
ED    0.108906
dtype: float64","Ticker
ED    0.192062
dtype: float64",0.06460971016290663
AME,INDUSTRIALS,0.05565229936864418,"Ticker
AME    0.135621
dtype: float64","Ticker
AME    0.217255
dtype: float64",0.05565229936864419
NBIX,PHARMA,0.04518987664725636,"Ticker
NBIX    0.02404
dtype: float64","Ticker
NBIX    0.352602
dtype: float64",0.04518987664725637
SO,UTILITIES,0.03982890793904901,"Ticker
SO    0.161997
dtype: float64","Ticker
SO    0.189432
dtype: float64",0.039828907939049016
CF,MATERIALS,0.03915516193452384,"Ticker
CF    0.226399
dtype: float64","Ticker
CF    0.37453
dtype: float64",0.03915516193452385
LDOS,DEFENSE,0.038002731487362294,"Ticker
LDOS    0.157489
dtype: float64","Ticker
LDOS    0.260395
dtype: float64",0.0380027314873623
AMGN,PHARMA,0.0330756707867704,"Ticker
AMGN    0.067877
dtype: float64","Ticker
AMGN    0.234093
dtype: float64",0.03307567078677041
CTRA,ENERGY,0.031822382800624695,"Ticker
CTRA    0.091054
dtype: float64","Ticker
CTRA    0.352845
dtype: float64",0.0318223828006247
VRTX,PHARMA,0.026111701309872577,"Ticker
VRTX    0.07381
dtype: float64","Ticker
VRTX    0.301259
dtype: float64",0.02611170130987258
BWXT,DEFENSE,0.023379376132823156,"Ticker
BWXT    0.262303
dtype: float64","Ticker
BWXT    0.294208
dtype: float64",0.02337937613282316
NEM,MATERIALS,0.020306248748533835,"Ticker
NEM    0.033514
dtype: float64","Ticker
NEM    0.345157
dtype: float64",0.020306248748533838
SKX,CONSUMER_DISCRETIONARY,0.02024745862466287,"Ticker
SKX    0.163838
dtype: float64","Ticker
SKX    0.398899
dtype: float64",0.020247458624662873
NTNX,TECH,0.017852911293321744,"Ticker
NTNX    0.266669
dtype: float64","Ticker
NTNX    0.504164
dtype: float64",0.017852911293321748
AXON,DEFENSE,0.017777708885854532,"Ticker
AXON    0.569351
dtype: float64","Ticker
AXON    0.465398
dtype: float64",0.017777708885854535
SNPS,TECH,0.014972164233596034,"Ticker
SNPS    0.253537
dtype: float64","Ticker
SNPS    0.356061
dtype: float64",0.014972164233596036
REGN,PHARMA,0.011987288522108144,"Ticker
REGN   -0.017844
dtype: float64","Ticker
REGN    0.300069
dtype: float64",0.011987288522108145
DECK,CONSUMER_DISCRETIONARY,0.00999599683499357,"Ticker
DECK    0.241752
dtype: float64","Ticker
DECK    0.427014
dtype: float64",0.009995996834993573
BMRN,PHARMA,0.007090120026761269,"Ticker
BMRN   -0.135194
dtype: float64","Ticker
BMRN    0.355451
dtype: float64",0.0070901200267612695
CPB,CONSUMER_STAPLES,0.006953130688953369,"Ticker
CPB   -0.06081
dtype: float64","Ticker
CPB    0.230012
dtype: float64",0.00695313068895337
VMC,MATERIALS,0.006948132021037617,"Ticker
VMC    0.187787
dtype: float64","Ticker
VMC    0.269165
dtype: float64",0.006948132021037618
CLX,CONSUMER_STAPLES,0.0062578573036726065,"Ticker
CLX   -0.090265
dtype: float64","Ticker
CLX    0.254816
dtype: float64",0.006257857303672607
SJM,CONSUMER_STAPLES,0.005640859175337277,"Ticker
SJM    0.02741
dtype: float64","Ticker
SJM    0.234842
dtype: float64",0.0056408591753372775
TPR,CONSUMER_DISCRETIONARY,0.002400343016160652,"Ticker
TPR    0.469675
dtype: float64","Ticker
TPR    0.41184
dtype: float64",0.0024003430161606523
INSM,PHARMA,0.0022580988065578973,"Ticker
INSM    0.358519
dtype: float64","Ticker
INSM    0.731871
dtype: float64",0.0022580988065578978
AVAV,DEFENSE,0.0004887703820539931,"Ticker
AVAV    0.25088
dtype: float64","Ticker
AVAV    0.524864
dtype: float64",0.0004887703820539932
