ticker,sector,weight,annualized_return_sample,volatility_sample,weight_norm
SO,UTILITIES,0.300000000000076,"Ticker
SO    0.161997
dtype: float64","Ticker
SO    0.189432
dtype: float64",0.30000000000007443
AXON,DEFENSE,0.1639770531882121,"Ticker
AXON    0.569351
dtype: float64","Ticker
AXON    0.465398
dtype: float64",0.16397705318821126
CW,DEFENSE,0.1360229468117828,"Ticker
CW    0.367007
dtype: float64","Ticker
CW    0.279444
dtype: float64",0.13602294681178212
TPR,CONSUMER_DISCRETIONARY,0.11579532985594593,"Ticker
TPR    0.469675
dtype: float64","Ticker
TPR    0.41184
dtype: float64",0.11579532985594533
AR,ENERGY,0.08237802376138646,"Ticker
AR    0.493092
dtype: float64","Ticker
AR    0.555297
dtype: float64",0.08237802376138605
DKS,CONSUMER_DISCRETIONARY,0.06912308040885515,"Ticker
DKS    0.416943
dtype: float64","Ticker
DKS    0.446153
dtype: float64",0.0691230804088548
INSM,PHARMA,0.04459534139002038,"Ticker
INSM    0.358519
dtype: float64","Ticker
INSM    0.731871
dtype: float64",0.04459534139002015
SM,ENERGY,0.04012908533467555,"Ticker
SM    0.570035
dtype: float64","Ticker
SM    0.676194
dtype: float64",0.040129085334675345
NTNX,TECH,0.018919180185613057,"Ticker
NTNX    0.266669
dtype: float64","Ticker
NTNX    0.504164
dtype: float64",0.01891918018561296
CF,MATERIALS,0.012952283039806224,"Ticker
CF    0.226399
dtype: float64","Ticker
CF    0.37453
dtype: float64",0.012952283039806159
SJM,CONSUMER_STAPLES,0.008545717722342808,"Ticker
SJM    0.02741
dtype: float64","Ticker
SJM    0.234842
dtype: float64",0.008545717722342765
VRTX,PHARMA,0.0075619583012886925,"Ticker
VRTX    0.07381
dtype: float64","Ticker
VRTX    0.301259
dtype: float64",0.0075619583012886534
