as_of,ticker,sector,weight,ann_return_sample,vol_sample
2020-09-30,INSM,PHARMA,0.18477413707856385,"Ticker
INSM    0.358294
dtype: float64","Ticker
INSM    0.73158
dtype: float64"
2020-09-30,AXON,DEFENSE,0.25488542628493527,"Ticker
AXON    0.570636
dtype: float64","Ticker
AXON    0.465215
dtype: float64"
2020-09-30,DKS,CONSUMER_DISCRETIONARY,0.16815085167093294,"Ticker
DKS    0.418027
dtype: float64","Ticker
DKS    0.445978
dtype: float64"
2020-09-30,RH,CONSUMER_DISCRETIONARY,0.09819820434323742,"Ticker
RH   -0.057877
dtype: float64","Ticker
RH    0.599531
dtype: float64"
2020-09-30,PVH,CONSUMER_DISCRETIONARY,0.06588133251437042,"Ticker
PVH    0.072398
dtype: float64","Ticker
PVH    0.48804
dtype: float64"
2020-09-30,IVZ,FINANCIALS,0.14090954010851148,"Ticker
IVZ    0.198614
dtype: float64","Ticker
IVZ    0.382373
dtype: float64"
2020-09-30,DUK,UTILITIES,0.08512198575537418,"Ticker
DUK    0.125995
dtype: float64","Ticker
DUK    0.185594
dtype: float64"
2020-09-30,ED,UTILITIES,0.0020785222286948176,"Ticker
ED    0.104254
dtype: float64","Ticker
ED    0.192212
dtype: float64"
2020-10-31,NTNX,TECH,0.02114586930711369,"Ticker
NTNX    0.26669
dtype: float64","Ticker
NTNX    0.503963
dtype: float64"
2020-10-31,INSM,PHARMA,0.07692523057959617,"Ticker
INSM    0.358294
dtype: float64","Ticker
INSM    0.73158
dtype: float64"
2020-10-31,AXON,DEFENSE,0.2376302828247713,"Ticker
AXON    0.570636
dtype: float64","Ticker
AXON    0.465215
dtype: float64"
2020-10-31,CROX,CONSUMER_DISCRETIONARY,0.08281938522756652,"Ticker
CROX    0.158313
dtype: float64","Ticker
CROX    0.556687
dtype: float64"
2020-10-31,DKS,CONSUMER_DISCRETIONARY,0.09454587240665491,"Ticker
DKS    0.418027
dtype: float64","Ticker
DKS    0.445978
dtype: float64"
2020-10-31,TPR,CONSUMER_DISCRETIONARY,0.14699690233648943,"Ticker
TPR    0.484475
dtype: float64","Ticker
TPR    0.412307
dtype: float64"
2020-10-31,IVZ,FINANCIALS,0.11619243640763462,"Ticker
IVZ    0.198614
dtype: float64","Ticker
IVZ    0.382373
dtype: float64"
2020-10-31,DUK,UTILITIES,0.038729434000900155,"Ticker
DUK    0.125995
dtype: float64","Ticker
DUK    0.185594
dtype: float64"
2020-10-31,AEP,UTILITIES,0.0792591241250115,"Ticker
AEP    0.106617
dtype: float64","Ticker
AEP    0.199842
dtype: float64"
2020-10-31,WEC,UTILITIES,0.012387033374331625,"Ticker
WEC    0.066018
dtype: float64","Ticker
WEC    0.197577
dtype: float64"
2020-10-31,MLM,MATERIALS,0.0933684294132752,"Ticker
MLM    0.239425
dtype: float64","Ticker
MLM    0.277983
dtype: float64"
2020-11-30,NTNX,TECH,0.008076755615564302,"Ticker
NTNX    0.26669
dtype: float64","Ticker
NTNX    0.503963
dtype: float64"
2020-11-30,INSM,PHARMA,0.13310814300800458,"Ticker
INSM    0.358294
dtype: float64","Ticker
INSM    0.73158
dtype: float64"
2020-11-30,AXON,DEFENSE,0.3372281127108241,"Ticker
AXON    0.570636
dtype: float64","Ticker
AXON    0.465215
dtype: float64"
2020-11-30,CROX,CONSUMER_DISCRETIONARY,0.07172562588177962,"Ticker
CROX    0.158313
dtype: float64","Ticker
CROX    0.556687
dtype: float64"
2020-11-30,DKS,CONSUMER_DISCRETIONARY,0.03830531455689421,"Ticker
DKS    0.418027
dtype: float64","Ticker
DKS    0.445978
dtype: float64"
2020-11-30,RH,CONSUMER_DISCRETIONARY,0.021769096703181532,"Ticker
RH   -0.057877
dtype: float64","Ticker
RH    0.599531
dtype: float64"
2020-11-30,TPR,CONSUMER_DISCRETIONARY,0.21944189694060218,"Ticker
TPR    0.484475
dtype: float64","Ticker
TPR    0.412307
dtype: float64"
2020-11-30,IVZ,FINANCIALS,0.16629958274189063,"Ticker
IVZ    0.198614
dtype: float64","Ticker
IVZ    0.382373
dtype: float64"
