as_of,ticker,sector,weight,ann_return_sample,vol_sample
2020-09-30,INSM,PHARMA,0.19024414029879266,"Ticker
INSM    0.358294
dtype: float64","Ticker
INSM    0.73158
dtype: float64"
2020-09-30,AXON,DEFENSE,0.2534319927130976,"Ticker
AXON    0.570636
dtype: float64","Ticker
AXON    0.465215
dtype: float64"
2020-09-30,DKS,CONSUMER_DISCRETIONARY,0.1591252666724949,"Ticker
DKS    0.418027
dtype: float64","Ticker
DKS    0.445978
dtype: float64"
2020-09-30,RH,CONSUMER_DISCRETIONARY,0.09487954129426213,"Ticker
RH   -0.057877
dtype: float64","Ticker
RH    0.599531
dtype: float64"
2020-09-30,PVH,CONSUMER_DISCRETIONARY,0.04599519203476303,"Ticker
PVH    0.072398
dtype: float64","Ticker
PVH    0.48804
dtype: float64"
2020-09-30,IVZ,FINANCIALS,0.1454498124676213,"Ticker
IVZ    0.198614
dtype: float64","Ticker
IVZ    0.382373
dtype: float64"
2020-09-30,DUK,UTILITIES,0.095877722643422,"Ticker
DUK    0.125995
dtype: float64","Ticker
DUK    0.185594
dtype: float64"
2020-09-30,ED,UTILITIES,0.01499633156238197,"Ticker
ED    0.104254
dtype: float64","Ticker
ED    0.192212
dtype: float64"
2020-10-31,NTNX,TECH,0.022323884738004243,"Ticker
NTNX    0.26669
dtype: float64","Ticker
NTNX    0.503963
dtype: float64"
2020-10-31,INSM,PHARMA,0.07813765739434599,"Ticker
INSM    0.358294
dtype: float64","Ticker
INSM    0.73158
dtype: float64"
2020-10-31,AXON,DEFENSE,0.24103916581394325,"Ticker
AXON    0.570636
dtype: float64","Ticker
AXON    0.465215
dtype: float64"
2020-10-31,CROX,CONSUMER_DISCRETIONARY,0.07055139643256512,"Ticker
CROX    0.158313
dtype: float64","Ticker
CROX    0.556687
dtype: float64"
2020-10-31,DKS,CONSUMER_DISCRETIONARY,0.08936934775661202,"Ticker
DKS    0.418027
dtype: float64","Ticker
DKS    0.445978
dtype: float64"
2020-10-31,TPR,CONSUMER_DISCRETIONARY,0.1400792558183622,"Ticker
TPR    0.484475
dtype: float64","Ticker
TPR    0.412307
dtype: float64"
2020-10-31,IVZ,FINANCIALS,0.11656808210778867,"Ticker
IVZ    0.198614
dtype: float64","Ticker
IVZ    0.382373
dtype: float64"
2020-10-31,DUK,UTILITIES,0.0422654791688504,"Ticker
DUK    0.125995
dtype: float64","Ticker
DUK    0.185594
dtype: float64"
2020-10-31,AEP,UTILITIES,0.09106396671207426,"Ticker
AEP    0.106617
dtype: float64","Ticker
AEP    0.199842
dtype: float64"
2020-10-31,WEC,UTILITIES,0.010686520504098681,"Ticker
WEC    0.066018
dtype: float64","Ticker
WEC    0.197577
dtype: float64"
2020-10-31,MLM,MATERIALS,0.0979152435796091,"Ticker
MLM    0.239425
dtype: float64","Ticker
MLM    0.277983
dtype: float64"
2020-11-30,NTNX,TECH,0.016482747685093824,"Ticker
NTNX    0.26669
dtype: float64","Ticker
NTNX    0.503963
dtype: float64"
2020-11-30,INSM,PHARMA,0.1365646981146927,"Ticker
INSM    0.358294
dtype: float64","Ticker
INSM    0.73158
dtype: float64"
2020-11-30,AXON,DEFENSE,0.2999999999917053,"Ticker
AXON    0.570636
dtype: float64","Ticker
AXON    0.465215
dtype: float64"
2020-11-30,CROX,CONSUMER_DISCRETIONARY,0.05558785714545689,"Ticker
CROX    0.158313
dtype: float64","Ticker
CROX    0.556687
dtype: float64"
2020-11-30,DKS,CONSUMER_DISCRETIONARY,0.03435240998232247,"Ticker
DKS    0.418027
dtype: float64","Ticker
DKS    0.445978
dtype: float64"
2020-11-30,RH,CONSUMER_DISCRETIONARY,0.02190850822938356,"Ticker
RH   -0.057877
dtype: float64","Ticker
RH    0.599531
dtype: float64"
2020-11-30,TPR,CONSUMER_DISCRETIONARY,0.18815122463442738,"Ticker
TPR    0.484475
dtype: float64","Ticker
TPR    0.412307
dtype: float64"
2020-11-30,SJM,CONSUMER_STAPLES,0.008742643480487219,"Ticker
SJM    0.028171
dtype: float64","Ticker
SJM    0.234754
dtype: float64"
2020-11-30,IVZ,FINANCIALS,0.16477655171224193,"Ticker
IVZ    0.198614
dtype: float64","Ticker
IVZ    0.382373
dtype: float64"
2020-11-30,SO,UTILITIES,0.06051826528063781,"Ticker
SO    0.161561
dtype: float64","Ticker
SO    0.189358
dtype: float64"
2020-11-30,ALB,MATERIALS,0.009178611591563628,"Ticker
ALB   -0.01055
dtype: float64","Ticker
ALB    0.527728
dtype: float64"
2020-11-30,MOS,MATERIALS,0.003736482121667035,"Ticker
MOS    0.149102
dtype: float64","Ticker
MOS    0.42673
dtype: float64"
2020-12-31,SNPS,TECH,0.12909645835378872,"Ticker
SNPS    0.253943
dtype: float64","Ticker
SNPS    0.35592
dtype: float64"
2020-12-31,MPWR,TECH,0.03852848262759609,"Ticker
MPWR    0.250549
dtype: float64","Ticker
MPWR    0.531304
dtype: float64"
2020-12-31,NTNX,TECH,0.05137317050284376,"Ticker
NTNX    0.26669
dtype: float64","Ticker
NTNX    0.503963
dtype: float64"
2020-12-31,SM,ENERGY,0.022480539889353064,"Ticker
SM    0.563052
dtype: float64","Ticker
SM    0.676002
dtype: float64"
