as_of,ticker,sector,weight,ann_return_sample,vol_sample
2020-08-31,SNPS,TECH,0.05682227872633614,"Ticker
SNPS    0.253943
dtype: float64","Ticker
SNPS    0.35592
dtype: float64"
2020-08-31,CDNS,TECH,0.015987274510693646,"Ticker
CDNS    0.262662
dtype: float64","Ticker
CDNS    0.356003
dtype: float64"
2020-08-31,MCHP,TECH,0.016579407459927593,"Ticker
MCHP    0.068777
dtype: float64","Ticker
MCHP    0.433276
dtype: float64"
2020-08-31,MPWR,TECH,0.017267906276037356,"Ticker
MPWR    0.250549
dtype: float64","Ticker
MPWR    0.531304
dtype: float64"
2020-08-31,FTNT,TECH,0.022097470858986203,"Ticker
FTNT    0.251993
dtype: float64","Ticker
FTNT    0.431959
dtype: float64"
2020-08-31,NTNX,TECH,0.005035953108259035,"Ticker
NTNX    0.26669
dtype: float64","Ticker
NTNX    0.503963
dtype: float64"
2020-08-31,BMRN,PHARMA,0.027583826484051978,"Ticker
BMRN   -0.136475
dtype: float64","Ticker
BMRN    0.355326
dtype: float64"
2020-08-31,NBIX,PHARMA,0.03485037310935113,"Ticker
NBIX    0.026498
dtype: float64","Ticker
NBIX    0.352501
dtype: float64"
2020-08-31,TECH,PHARMA,0.04590063297849108,"Ticker
TECH   -0.0363
dtype: float64","Ticker
TECH    0.37036
dtype: float64"
2020-08-31,INSM,PHARMA,0.0011091273511391394,"Ticker
INSM    0.358294
dtype: float64","Ticker
INSM    0.73158
dtype: float64"
2020-08-31,HRMY,PHARMA,0.004671438572107469,"Ticker
HRMY   -0.000762
dtype: float64","Ticker
HRMY    0.536614
dtype: float64"
2020-08-31,AMGN,PHARMA,0.011630488841681233,"Ticker
AMGN    0.072347
dtype: float64","Ticker
AMGN    0.234188
dtype: float64"
2020-08-31,REGN,PHARMA,0.01710982498669177,"Ticker
REGN   -0.012848
dtype: float64","Ticker
REGN    0.300165
dtype: float64"
2020-08-31,VRTX,PHARMA,0.04181022670826788,"Ticker
VRTX    0.075121
dtype: float64","Ticker
VRTX    0.301151
dtype: float64"
2020-08-31,BIIB,PHARMA,0.010491440107977486,"Ticker
BIIB   -0.137279
dtype: float64","Ticker
BIIB    0.443025
dtype: float64"
2020-08-31,APA,ENERGY,8.271873837368884e-05,"Ticker
APA    0.086473
dtype: float64","Ticker
APA    0.526142
dtype: float64"
2020-08-31,EQT,ENERGY,0.010540225817236097,"Ticker
EQT    0.269255
dtype: float64","Ticker
EQT    0.467437
dtype: float64"
2020-08-31,AR,ENERGY,0.02959670543684941,"Ticker
AR    0.48945
dtype: float64","Ticker
AR    0.555105
dtype: float64"
2020-08-31,CTRA,ENERGY,0.014602218384252342,"Ticker
CTRA    0.090614
dtype: float64","Ticker
CTRA    0.352706
dtype: float64"
2020-08-31,HII,DEFENSE,0.0015021023546636799,"Ticker
HII    0.129626
dtype: float64","Ticker
HII    0.298074
dtype: float64"
2020-08-31,TDG,DEFENSE,0.010136869277472944,"Ticker
TDG    0.262196
dtype: float64","Ticker
TDG    0.287537
dtype: float64"
2020-08-31,KTOS,DEFENSE,0.0022449868085805623,"Ticker
KTOS    0.285773
dtype: float64","Ticker
KTOS    0.465002
dtype: float64"
2020-08-31,MRCY,DEFENSE,0.0009592816279266161,"Ticker
MRCY   -0.030587
dtype: float64","Ticker
MRCY    0.438757
dtype: float64"
